5,"Como usuario soporte tecnico, quiero un slide que me permita cambiar la vista de colores de las cajas entre factor de ocupacion (cantidad de clientes por caja) y estado (una puntuacion calculada por las señales de los clientes), para lograr hacer monitoreo bajo 2 enfoques diferentes",Si
6,"Como usuario cualquiera, quiero que la interfaz sea responsiva e intuitiva, para lograr hacer uso de esta de forma comoda tanto en pc como en celular",No
8,"Como usuario cualquiera, quiero poder ejecutar el producto en todas las versiones de Windows",No
11,"Como Cliente, quiero pagar mi suscripción mensual vía sitio web ",No
13,"Como Supervisor de ventas, quiero consultar un listado de los pedidos de venta que han sido registrados y aún no han sido procesados.",Si
15,"Como gerente de proyecto, necesito un tablero de control personalizable para visualizar el progreso y el rendimiento de mi equipo en diferentes proyectos.",No
22,Como usuario administrador quiero eliminar una categoría para que deje de estar disponible entre las opciones a seleccionar. ,Si
25,Como usuario prestador quiero modificar mi emprendimiento para mantener actualizado sus datos dentro de la plataforma.,Si
28,Como usuario quiero agregar un producto utilizando un lector de código barra para actualizar la base de datos en caso que no exista el producto.,No
31,Como usuario quiero hacer una búsqueda del producto filtrada por el fabricante.,Si
34,"Como usuario, deseo poder buscar productos por nombre o categoría en la plataforma de comercio electrónico para encontrar rápidamente lo que estoy buscando.",No
36,"El sistema debería ser capaz de generar informes detallados sobre las ventas, incluyendo información sobre productos vendidos, clientes registrados, comentarios de clientes y datos de envío para facilitar el análisis exhaustivo de la actividad comercial",No
37,"Como administrador del sistema, necesito poder generar informes mensuales de ventas que incluyan datos como ingresos totales, productos más vendidos y clientes más activos para tener una visión clara del desempeño del negocio.",Si
41,"Como Usuario, quiero pagar mi suscripción mensual vía sitio web por medio de transferencia bancaria o tarjeta de crédito.",Si
43,"Como Cliente, quiero poder ejecutar tu producto en todas las versiones de Windows, desde Windows 7 en adelante.",No
44,"Como Vendedor, quiero registrar los productos y cantidades que me solicita un cliente para crear un pedido de venta.",Si
54,Como usuario quiero poder acceder a la agenda de enfermería para utilizar sus funcionalidades,No
57,"Como Usuario, quiero agregar la posibilidad de ordenar las OT (órdenes de trabajo) abiertas de la misma forma que se ordenan las OT pendientes.",Si
58,"Como Usuario Administrador, quiero modificar la carga de combustible que figura en semi-camion. Dejar el valor del campo seteado en 000 y lo mismo del aereo.",No
62,"Como usuario administrador, quiero filtrar la información que se va a cargar en el informe de mantenimiento con los siguientes campos: Tipo de proyección, Valor, Internos, planes, personal acivo, internos seleccionados.",Si
